             1             1
             2             1
             3             1
             4             1
             5            -1
             6            -2
             7            -3
             8            -4
             9             1
            10             1
            11             1
            12             1
            13            -9
            14           -10
            15           -11
            16           -12
            17             1
            18           -17
            19             1
            20           -19
            21             1
            22             1
            23             1
            24             1
